m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu,AB_pred
0.1,5,0.04,-2.7063516439999997,-1.8157735119999998,0.22314355100000002,0.0,4.6051701860000005,0.0,-1.6686808309999999,4.6051701860000005,0.18787737
0.5,10,0.04,-2.353457423,-0.728923592,3.218875825,1.609437912,6.907755279,0.0,0.34622219,5.298317367,1.4082708
0.5,5,0.04,-2.786444269,-1.7809144890000002,1.832581464,1.609437912,6.214608097999999,0.0,-0.059242918,4.6051701860000005,0.9365922
0.2,20,0.04,-4.198372633,-1.852121126,3.688879454,3.218875825,9.433483922999999,0.0,2.648807283,6.214608097999999,13.821525
0.5,10,0.04,-2.353457423,-0.728923592,3.218875825,1.609437912,6.907755279,0.0,0.34622219,5.298317367,1.4221208
0.1,5,0.04,-2.8271716319999998,-1.9139542219999999,0.22314355100000002,0.0,5.298317367,0.0,-1.263215723,5.298317367,0.28587252
0.1,10,0.04,-3.658156281,-2.040651691,1.609437912,1.609437912,6.214608097999999,0.0,-0.059242918,4.6051701860000005,0.94216794
0.2,10,0.04,-3.077810385,-1.4659438130000002,2.3025850930000002,1.609437912,6.214608097999999,0.0,-0.059242918,4.6051701860000005,0.90960217
0.1,15,0.04,-4.190415031000001,-2.155131072,2.420368129,1.609437912,6.907755279,-2.3025850930000002,0.34622219,5.298317367,1.4283191
0.5,20,0.08,-3.654284809,-1.4118337319999998,4.6051701860000005,1.609437912,6.907755279,-2.3025850930000002,1.03936937,5.298317367,2.9023771
0.5,20,0.08,-4.385231766,-2.00556674,4.6051701860000005,2.3025850930000002,8.517193191,-2.3025850930000002,2.4256637309999998,6.214608097999999,11.198193
0.1,20,0.04,-3.986746552,-1.760051522,2.995732274,1.609437912,6.907755279,-2.3025850930000002,0.34622219,5.298317367,1.4168143
0.1,20,0.04,-3.8022721410000004,-1.618337396,2.995732274,1.609437912,6.214608097999999,-2.3025850930000002,-0.059242918,4.6051701860000005,0.9844216
0.1,15,0.08,-3.6698614480000002,-2.002954687,2.420368129,0.0,6.214608097999999,-2.3025850930000002,0.123078638,6.214608097999999,1.1271985
0.1,15,0.04,-4.190415031000001,-2.155131072,2.420368129,1.609437912,6.907755279,-2.3025850930000002,0.34622219,5.298317367,1.4087507
0.1,15,0.04,-4.022954566,-2.028626762,2.420368129,1.609437912,6.214608097999999,-2.3025850930000002,-0.059242918,4.6051701860000005,0.9509186
0.5,10,0.08,-2.75986995,-1.25650195,3.218875825,0.0,5.298317367,-2.3025850930000002,-0.570068542,5.298317367,0.5582665
0.5,10,0.04,-4.530062714,-2.726132709,3.218875825,3.218875825,8.517193191,-2.3025850930000002,1.955660102,5.298317367,7.083383
0.2,20,0.08,-4.195713057,-1.9920462380000001,3.688879454,1.609437912,6.214608097999999,-2.3025850930000002,0.633904262,4.6051701860000005,1.9111527
0.1,10,0.04,-3.135914304,-1.6566343469999998,1.609437912,0.0,4.6051701860000005,-1.609437912,-1.6686808309999999,4.6051701860000005,0.18806918
0.1,5,0.04,-3.755019257,-2.7298664539999997,0.22314355100000002,0.0,4.6051701860000005,-1.609437912,-1.6686808309999999,4.6051701860000005,0.19528545
0.2,10,0.04,-4.884884089,-3.023884865,2.3025850930000002,2.3025850930000002,8.517193191,-1.609437912,1.732516551,6.214608097999999,5.5748167
0.2,10,0.04,-2.997333555,-1.3994039169999999,2.3025850930000002,0.0,6.214608097999999,-1.609437912,-0.570068542,6.214608097999999,0.5676609
0.1,15,0.04,-5.132802928,-2.907355163,2.420368129,2.3025850930000002,7.60090246,-1.609437912,1.03936937,5.298317367,2.8471677
0.2,10,0.04,-4.054739308,-2.379595735,2.3025850930000002,1.609437912,6.214608097999999,-1.609437912,-0.059242918,4.6051701860000005,0.9616214
0.1,5,0.04,-3.9633163000000002,-2.840507885,0.22314355100000002,0.0,5.298317367,-1.609437912,-1.263215723,5.298317367,0.28325826
0.2,20,0.08,-4.5208290380000005,-2.197288579,3.688879454,1.609437912,6.214608097999999,-1.609437912,0.633904262,4.6051701860000005,1.9015124
0.1,15,0.08,-4.00743319,-2.218685218,2.420368129,0.0,6.214608097999999,-1.609437912,0.123078638,6.214608097999999,1.144785
0.5,20,0.08,-4.71721969,-2.240925713,4.6051701860000005,2.3025850930000002,8.517193191,-1.609437912,2.4256637309999998,6.214608097999999,11.194921
0.5,20,0.08,-3.780117935,-1.551319959,4.6051701860000005,1.609437912,6.214608097999999,-1.609437912,0.633904262,4.6051701860000005,1.9380974
0.2,5,0.04,-2.772588722,-1.829261979,0.916290732,0.0,4.6051701860000005,-2.3025850930000002,-1.6686808309999999,4.6051701860000005,0.19179836
0.2,10,0.04,-2.502989157,-0.9963301059999999,2.3025850930000002,0.0,4.6051701860000005,-1.609437912,-1.6686808309999999,4.6051701860000005,0.19083837
0.2,10,0.04,-2.502989157,-0.9963301059999999,2.3025850930000002,0.0,4.6051701860000005,-1.609437912,-1.6686808309999999,4.6051701860000005,0.19019355
0.5,5,0.04,-1.7610750869999998,-0.817377958,1.832581464,0.0,4.6051701860000005,-2.3025850930000002,-1.6686808309999999,4.6051701860000005,0.19136064
0.1,10,0.04,-3.135914304,-1.6566343469999998,1.609437912,0.0,4.6051701860000005,-1.609437912,-1.6686808309999999,4.6051701860000005,0.19023006
0.2,10,0.04,-2.23792158,-0.779934583,2.3025850930000002,0.0,4.6051701860000005,-2.3025850930000002,-1.6686808309999999,4.6051701860000005,0.19226333
0.2,10,0.04,-2.23792158,-0.779934583,2.3025850930000002,0.0,4.6051701860000005,-2.3025850930000002,-1.6686808309999999,4.6051701860000005,0.1893695
0.1,5,0.04,-3.4088264089999996,-2.445993676,0.22314355100000002,0.0,4.6051701860000005,-2.3025850930000002,-1.6686808309999999,4.6051701860000005,0.19275375
0.1,5,0.04,-2.7063516439999997,-1.8157735119999998,0.22314355100000002,0.0,4.6051701860000005,0.0,-1.6686808309999999,4.6051701860000005,0.19231923
0.1,5,0.04,-2.7063516439999997,-1.8157735119999998,0.22314355100000002,0.0,4.6051701860000005,0.0,-1.6686808309999999,4.6051701860000005,0.18885636
0.5,5,0.04,-1.7610750869999998,-0.817377958,1.832581464,0.0,4.6051701860000005,-2.3025850930000002,-1.6686808309999999,4.6051701860000005,0.18940862
0.5,10,0.04,-2.904430115,-1.259443232,3.218875825,1.609437912,6.214608097999999,-2.3025850930000002,-0.059242918,4.6051701860000005,0.95238507
0.1,10,0.04,-3.658156281,-2.040651691,1.609437912,1.609437912,6.214608097999999,0.0,-0.059242918,4.6051701860000005,0.94309217
0.5,5,0.04,-3.772261063,-2.692550938,1.832581464,1.609437912,6.214608097999999,-1.609437912,-0.059242918,4.6051701860000005,0.93508875
0.5,5,0.04,-2.786444269,-1.7809144890000002,1.832581464,1.609437912,6.214608097999999,0.0,-0.059242918,4.6051701860000005,0.9406882
0.5,10,0.04,-2.904430115,-1.259443232,3.218875825,1.609437912,6.214608097999999,-2.3025850930000002,-0.059242918,4.6051701860000005,0.95335567
0.5,10,0.04,-2.904430115,-1.259443232,3.218875825,1.609437912,6.214608097999999,-2.3025850930000002,-0.059242918,4.6051701860000005,0.9470221
0.5,5,0.04,-2.786444269,-1.7809144890000002,1.832581464,1.609437912,6.214608097999999,0.0,-0.059242918,4.6051701860000005,0.9566064
0.2,15,0.04,-3.402197882,-1.417661197,3.113515309,1.609437912,6.214608097999999,-2.3025850930000002,-0.059242918,4.6051701860000005,0.96247065
0.2,20,0.04,-3.186408635,-0.9921679609999999,3.688879454,1.609437912,6.214608097999999,-2.3025850930000002,-0.059242918,4.6051701860000005,0.9473915
0.1,10,0.04,-3.658156281,-2.040651691,1.609437912,1.609437912,6.214608097999999,0.0,-0.059242918,4.6051701860000005,0.9545235
