m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu
0.1,5,0.04,-3.755019257,-2.729866454,0.223143551,0,4.605170186,-1.609437912,-1.668680831,4.605170186
0.2,10,0.04,-4.884884089,-3.023884865,2.302585093,2.302585093,8.517193191,-1.609437912,1.732516551,6.214608098
0.2,10,0.04,-2.997333555,-1.399403917,2.302585093,0,6.214608098,-1.609437912,-0.570068542,6.214608098
0.1,15,0.04,-5.132802928,-2.907355163,2.420368129,2.302585093,7.60090246,-1.609437912,1.03936937,5.298317367
0.2,10,0.04,-4.054739308,-2.379595735,2.302585093,1.609437912,6.214608098,-1.609437912,-0.059242918,4.605170186
0.1,5,0.04,-3.9633163,-2.840507885,0.223143551,0,5.298317367,-1.609437912,-1.263215723,5.298317367
0.2,20,0.08,-4.520829038,-2.197288579,3.688879454,1.609437912,6.214608098,-1.609437912,0.633904262,4.605170186
0.1,15,0.08,-4.00743319,-2.218685218,2.420368129,0,6.214608098,-1.609437912,0.123078638,6.214608098
0.5,20,0.08,-4.71721969,-2.240925713,4.605170186,2.302585093,8.517193191,-1.609437912,2.425663731,6.214608098
0.5,20,0.08,-3.780117935,-1.551319959,4.605170186,1.609437912,6.214608098,-1.609437912,0.633904262,4.605170186
0.2,5,0.04,-2.772588722,-1.829261979,0.916290732,0,4.605170186,-2.302585093,-1.668680831,4.605170186
0.2,10,0.04,-2.502989157,-0.996330106,2.302585093,0,4.605170186,-1.609437912,-1.668680831,4.605170186
0.2,10,0.04,-2.502989157,-0.996330106,2.302585093,0,4.605170186,-1.609437912,-1.668680831,4.605170186
0.5,5,0.04,-1.761075087,-0.817377958,1.832581464,0,4.605170186,-2.302585093,-1.668680831,4.605170186
0.1,10,0.04,-3.135914304,-1.656634347,1.609437912,0,4.605170186,-1.609437912,-1.668680831,4.605170186
0.2,10,0.04,-2.23792158,-0.779934583,2.302585093,0,4.605170186,-2.302585093,-1.668680831,4.605170186
0.2,10,0.04,-2.23792158,-0.779934583,2.302585093,0,4.605170186,-2.302585093,-1.668680831,4.605170186
