id,d,lambda,m,v,e,cu,e/cu,g/cu,tp/d,tt,ike,cup,ke/cup,tp,v2,AB
66,0.04,0.0,0.5,10,2000,10,200,66.66666667,6.443,0.048260000000000004,25.0,0.502654825,49.73591972,0.25772,100.0,2.827433388230814
57,0.04,0.0,0.5,10,1000,5,200,66.66666667,12.0607,0.09504,25.0,0.251327412,99.47183943,0.482428,100.0,1.413716694115407
93,0.04,0.0,0.5,5,2500,5,500,166.66666669999998,3.525,0.05144,6.25,0.251327412,24.86795986,0.141,25.0,2.827433388230814
126,0.04,0.1,0.1,20,500,5,100,33.33333333,4.9557,0.02232,20.0,0.251327412,79.57747155,0.19822800000000002,400.0,0.9424777960769379
154,0.08,0.1,0.1,15,200,1,200,66.66666667,1.8846,0.0289,11.25,0.40212386,27.97645484,0.150768,225.0,0.5654866776461628
199,0.04,0.1,0.1,15,2500,5,500,166.66666669999998,2.5644,0.013080000000000001,11.25,0.251327412,44.76232774,0.102576,225.0,2.827433388230814
220,0.04,0.1,0.5,10,12500,25,500,166.66666669999998,1.5043,0.00948,25.0,1.256637061,19.89436789,0.060172,100.0,14.137166941154069
213,0.04,0.1,0.2,20,5000,10,500,166.66666669999998,4.0256,0.01542,40.0,0.502654825,79.57747155,0.161024,400.0,5.654866776461628
119,0.08,0.1,0.2,10,100,1,100,33.33333333,2.0242,0.03902,10.0,0.40212386,24.86795986,0.161936,100.0,0.3769911184307752
114,0.04,0.1,0.2,5,100,1,100,33.33333333,4.0133,0.0625,2.5,0.050265482,49.73591972,0.160532,25.0,0.1884955592153876
119,0.08,0.1,0.2,10,100,1,100,33.33333333,2.0242,0.03902,10.0,0.40212386,24.86795986,0.161936,100.0,0.3769911184307752
175,0.04,0.1,0.2,15,2000,10,200,66.66666667,2.9047,0.01454,22.5,0.502654825,44.76232774,0.116188,225.0,2.827433388230814
164,0.04,0.1,0.2,10,1000,5,200,66.66666667,2.6677,0.0199,10.0,0.251327412,39.78873577,0.106708,100.0,1.413716694115407
209,0.04,0.1,0.1,15,5000,10,500,166.66666669999998,1.5769,0.00732,11.25,0.502654825,22.38116387,0.063076,225.0,5.654866776461628
299,0.04,0.2,0.2,5,500,1,500,166.66666669999998,2.0961,0.02992,2.5,0.050265482,49.73591972,0.083844,25.0,0.5654866776461628
307,0.08,0.2,0.5,10,500,1,500,166.66666669999998,2.4177,0.0392,25.0,0.40212386,62.16989965,0.193416,100.0,1.1309733552923256
300,0.04,0.2,0.2,10,500,1,500,166.66666669999998,6.1686,0.04992,10.0,0.050265482,198.9436789,0.246744,100.0,0.5654866776461628
275,0.04,0.2,0.2,10,1000,5,200,66.66666667,1.9855,0.01426,10.0,0.251327412,39.78873577,0.07942,100.0,1.413716694115407
279,0.04,0.2,0.5,10,1000,5,200,66.66666667,4.1826,0.03128,25.0,0.251327412,99.47183943,0.167304,100.0,1.413716694115407
302,0.08,0.2,0.1,15,500,1,500,166.66666669999998,1.3594,0.01818,11.25,0.40212386,27.97645484,0.108752,225.0,1.1309733552923256
268,0.08,0.2,0.2,15,200,1,200,66.66666667,2.3487,0.03188,22.5,0.40212386,55.95290968,0.187896,225.0,0.5654866776461628
240,0.04,0.2,0.2,20,500,5,100,33.33333333,7.5003,0.03228,40.0,0.251327412,159.1549431,0.300012,400.0,0.9424777960769379
248,0.04,0.2,0.2,10,1000,10,100,33.33333333,1.4183,0.009040000000000001,10.0,0.502654825,19.89436789,0.056732,100.0,1.8849555921538759
325,0.04,0.2,0.5,10,5000,10,500,166.66666669999998,2.0652,0.0144,25.0,0.502654825,49.73591972,0.082608,100.0,5.654866776461628
328,0.08,0.2,0.5,20,5000,10,500,166.66666669999998,1.3295,0.00894,100.0,4.021238597,24.86795986,0.10636,400.0,11.309733552923255
116,0.04,0.1,0.5,5,100,1,100,33.33333333,11.0397,0.17185999999999998,6.25,0.050265482,124.3397993,0.441588,25.0,0.1884955592153876
3,0.04,0.0,0.2,5,100,1,100,33.33333333,7.9759,0.13092,2.5,0.050265482,49.73591972,0.31903600000000004,25.0,0.1884955592153876
115,0.04,0.1,0.2,10,100,1,100,33.33333333,11.4609,0.10668,10.0,0.050265482,198.9436789,0.458436,100.0,0.1884955592153876
226,0.04,0.2,0.2,10,100,1,100,33.33333333,9.2308,0.08184,10.0,0.050265482,198.9436789,0.369232,100.0,0.1884955592153876
224,0.04,0.2,0.1,10,100,1,100,33.33333333,4.7695,0.043460000000000006,5.0,0.050265482,99.47183943,0.19078,100.0,0.1884955592153876
112,0.04,0.1,0.1,5,100,1,100,33.33333333,2.166,0.03308,1.25,0.050265482,24.86795986,0.08664,25.0,0.1884955592153876
224,0.04,0.2,0.1,10,100,1,100,33.33333333,4.7695,0.043460000000000006,5.0,0.050265482,99.47183943,0.19078,100.0,0.1884955592153876
